0	737951	0.01	0
10000	73460	31.72	1
20000	53616	37.49	3
30000	52105	42.54	5
40000	51946	47.78	6
50000	51881	52.45	8
60000	51828	57.33	10
70000	51750	62.40	11
80000	51736	66.93	13
90000	51736	72.29	15
100000	51736	76.72	16
110000	51623	81.50	18
120000	51623	86.53	20
130000	51569	91.32	21
140000	51515	95.83	23
150000	51478	100.88	25
160000	51436	105.01	26
170000	51436	109.72	28
180000	51426	114.63	30
190000	51426	119.23	31
200000	51357	123.54	33
210000	51357	128.50	35
220000	51357	133.60	36
230000	51357	138.08	38
240000	51357	142.35	40
250000	51296	147.34	41
260000	51296	152.02	43
270000	51270	156.58	45
280000	51270	161.72	46
290000	51199	166.03	48
300000	51216	170.57	50
310000	51169	174.95	51
320000	51169	179.30	53
330000	51169	184.17	55
340000	51169	188.56	56
350000	51169	193.04	58
360000	51169	197.65	60
370000	51169	202.70	61
380000	51169	207.06	63
390000	51010	212.19	65
400000	50992	216.79	66
410000	50963	222.08	68
420000	50963	226.84	70
430000	50963	232.10	71
440000	50958	236.33	73
450000	50958	240.68	75
460000	50958	246.12	76
470000	50958	251.49	78
480000	50958	255.40	80
490000	50943	260.74	81
500000	50942	266.43	83
510000	50942	270.52	85
520000	50942	277.74	86
530000	50936	283.72	88
540000	50929	289.33	90
550000	50929	296.26	91
560000	50923	303.64	93
570000	50923	309.46	95
580000	50923	316.61	96
590000	50923	323.44	98
