0	726518	0.01	0
10000	72944	38.84	1
20000	53335	45.31	3
30000	52140	50.03	5
40000	51867	55.66	6
50000	51798	60.71	8
60000	51674	66.29	10
70000	51674	71.31	11
80000	51674	75.78	13
90000	51604	80.56	15
100000	51554	85.16	16
110000	51507	90.32	18
120000	51495	94.89	20
130000	51478	99.93	21
140000	51418	104.54	23
150000	51418	109.52	25
160000	51335	113.49	26
170000	51335	118.75	28
180000	51335	123.32	30
190000	51335	128.10	31
200000	51169	132.53	33
210000	51120	137.14	35
220000	51120	141.49	36
230000	51120	145.76	38
240000	51120	150.32	40
250000	51120	154.55	41
260000	51060	159.01	43
270000	51060	163.53	45
280000	51060	167.81	46
290000	51060	172.65	48
300000	51060	177.43	50
310000	51060	183.62	51
320000	51060	191.46	53
330000	51030	197.80	55
340000	51030	204.88	56
350000	51030	211.61	58
360000	51030	217.97	60
370000	51030	225.27	61
380000	51030	232.07	63
390000	51030	239.93	65
400000	51019	247.31	66
410000	51019	255.42	68
420000	51019	263.42	70
430000	51019	271.66	71
440000	51019	278.65	73
450000	51019	287.07	75
460000	51019	295.00	76
470000	51019	303.01	78
480000	51019	311.18	80
490000	51019	318.79	81
500000	51019	327.17	83
510000	51019	334.40	85
520000	51019	343.67	86
530000	51019	351.18	88
540000	51019	359.22	90
550000	51019	366.82	91
560000	51019	375.07	93
570000	51019	382.58	95
580000	51019	391.19	96
590000	51019	398.91	98
