0	729965	0.01
2000	313797	51.34
4000	168823	75.73
6000	95619	88.70
8000	68588	97.06
10000	56119	103.31
12000	53399	109.02
14000	52157	114.42
16000	51612	120.34
18000	51551	127.89
20000	51290	135.65
22000	51257	144.84
24000	51202	153.78
26000	51156	160.97
28000	51156	167.78
30000	51156	174.08
32000	51156	181.04
34000	51156	189.04
36000	51156	196.86
38000	51156	204.13
40000	51156	209.16
42000	51156	213.72
44000	51156	218.46
46000	51156	223.01
48000	51156	227.43
50000	51156	232.35
52000	51156	236.60
54000	51156	241.79
56000	51156	246.30
58000	51156	251.19
60000	51156	255.66
62000	51156	260.71
64000	51156	268.39
66000	51156	275.68
68000	51156	284.31
70000	51156	291.39
72000	51156	297.39
74000	51156	302.92
76000	51156	308.86
78000	51156	313.98
80000	51156	319.24
82000	51156	324.30
84000	51156	329.10
86000	51156	334.25
88000	51156	339.27
90000	51156	344.15
92000	51156	349.77
94000	51156	356.13
96000	51156	361.91
98000	51156	367.60
