0	740745	0.01
2000	308311	29.70
4000	171191	38.99
6000	100177	44.20
8000	68837	47.40
10000	57247	49.71
12000	53687	51.73
14000	52712	53.59
16000	52115	55.45
18000	51491	57.61
20000	51491	60.21
22000	51491	63.05
24000	51461	66.19
26000	51461	69.13
28000	51461	72.31
30000	51461	75.15
32000	51461	78.08
34000	51461	81.09
36000	51461	84.05
38000	51461	87.09
40000	51461	90.26
42000	51461	93.28
44000	51461	96.14
46000	51461	99.52
48000	51461	102.44
50000	51461	105.16
52000	51461	107.91
54000	51461	110.87
56000	51461	113.55
58000	51461	116.11
60000	51461	118.87
62000	51461	121.73
64000	51461	124.39
66000	51461	127.24
68000	51461	130.10
70000	51461	132.99
72000	51461	136.27
74000	51461	139.67
76000	51461	143.01
78000	51461	146.21
80000	51461	148.93
82000	51461	151.80
84000	51461	154.57
86000	51461	157.29
88000	51461	160.00
90000	51461	162.74
92000	51461	165.58
94000	51461	168.46
96000	51461	171.46
98000	51461	174.38
