0	728810	0.01
2000	311887	23.81
4000	171409	31.67
6000	98100	35.32
8000	68806	37.65
10000	57348	39.51
12000	53205	41.12
14000	52096	42.60
16000	51601	44.28
18000	51440	46.10
20000	51299	48.23
22000	51249	50.42
24000	51249	52.62
26000	51249	54.85
28000	51249	57.30
30000	51249	59.49
32000	51249	61.79
34000	51249	64.08
36000	51249	66.27
38000	51249	68.61
40000	51249	70.97
42000	51249	73.31
44000	51249	75.66
46000	51249	78.03
48000	51249	80.48
50000	51208	82.91
52000	51208	85.19
54000	51208	87.46
56000	51208	89.68
58000	51208	91.95
60000	51208	94.24
62000	51208	96.41
64000	51208	98.73
66000	51208	101.09
68000	51208	103.52
70000	51208	106.20
72000	51208	108.69
74000	51208	111.11
76000	51208	113.47
78000	51208	115.69
80000	51208	117.93
82000	51208	120.25
84000	51208	122.46
86000	51208	124.73
88000	51208	127.08
90000	51208	129.51
92000	51208	131.66
94000	51208	134.02
96000	51208	136.31
98000	51208	138.45
100000	51208	140.75
102000	51208	142.95
104000	51208	145.28
106000	51208	147.60
108000	51208	149.83
110000	51208	152.10
112000	51208	154.38
114000	51208	156.74
116000	51208	159.02
118000	51208	161.23
120000	51208	163.55
122000	51208	165.91
124000	51208	168.11
126000	51208	170.59
128000	51208	173.05
130000	51208	175.49
132000	51208	177.90
134000	51208	180.29
136000	51208	182.76
138000	51208	184.93
140000	51208	187.23
142000	51208	189.47
144000	51208	191.80
146000	51208	194.09
148000	51208	196.32
150000	51208	198.63
152000	51208	201.03
154000	51208	203.27
156000	51208	205.68
158000	51208	208.03
160000	51208	210.48
162000	51208	212.79
164000	51208	214.93
166000	51208	217.24
168000	51208	219.56
170000	51208	221.77
172000	51208	224.10
174000	51208	226.39
176000	51208	228.76
178000	51208	231.12
180000	51208	233.64
182000	51208	236.07
184000	51208	238.76
186000	51208	241.17
188000	51208	243.90
190000	51208	246.37
192000	51208	248.76
194000	51208	251.03
196000	51208	253.38
198000	51208	255.76
200000	51208	258.19
202000	51208	260.48
204000	51208	262.87
206000	51208	265.23
208000	51208	267.69
210000	51208	270.09
212000	51208	272.47
214000	51208	274.88
216000	51208	277.41
218000	51208	279.85
220000	51208	282.30
222000	51208	284.55
224000	51208	286.93
226000	51208	289.24
228000	51208	291.42
230000	51208	293.81
232000	51208	296.21
234000	51208	298.38
236000	51208	300.69
238000	51208	302.86
240000	51208	305.18
242000	51208	307.59
244000	51208	310.02
246000	51208	312.38
248000	51208	314.58
250000	51208	316.89
252000	51208	319.15
254000	51208	321.33
256000	51208	323.66
258000	51208	325.78
260000	51208	328.02
262000	51208	330.43
264000	51208	332.60
266000	51208	334.88
268000	51208	337.21
270000	51208	339.62
272000	51208	341.91
274000	51208	344.17
276000	51208	346.50
278000	51208	348.76
280000	51208	350.97
282000	51208	353.26
284000	51208	355.62
286000	51208	357.99
288000	51208	360.32
290000	51208	362.45
292000	51208	365.01
294000	51208	367.56
296000	51208	369.83
298000	51208	372.19
300000	51208	374.51
302000	51208	376.65
304000	51208	378.93
306000	51208	381.25
308000	51208	383.59
310000	51208	385.91
312000	51208	388.15
314000	51208	390.42
316000	51208	392.73
318000	51208	394.94
320000	51208	397.15
322000	51208	399.33
324000	51208	401.81
326000	51208	404.44
328000	51208	406.83
330000	51208	409.30
332000	51208	411.92
334000	51208	414.42
336000	51208	416.86
338000	51208	419.09
340000	51208	421.37
342000	51208	423.68
344000	51208	425.79
346000	51208	428.14
348000	51208	430.55
350000	51208	432.77
352000	51208	435.15
354000	51208	437.42
356000	51208	439.81
358000	51208	442.18
360000	51208	444.39
362000	51208	446.67
364000	51208	448.96
366000	51208	451.13
368000	51208	453.39
370000	51208	455.53
