0	731987	0.01	0
10000	74634	30.48	1
20000	53586	36.62	3
30000	52629	41.90	5
40000	52205	47.52	6
50000	52001	52.24	8
60000	51802	57.46	10
70000	51697	61.98	11
80000	51697	67.22	13
90000	51625	72.32	15
100000	51522	77.50	16
110000	51522	82.20	18
120000	51494	86.91	20
130000	51477	91.93	21
140000	51388	96.24	23
150000	51324	100.75	25
160000	51276	105.40	26
170000	51247	109.98	28
180000	51247	114.56	30
190000	51247	118.96	31
200000	51247	123.67	33
210000	51247	128.43	35
220000	51207	133.28	36
230000	51207	138.40	38
240000	51207	143.58	40
250000	51207	148.88	41
260000	51207	154.18	43
270000	51207	158.91	45
280000	51207	163.55	46
290000	51207	168.49	48
300000	51207	173.20	50
310000	51207	178.07	51
320000	51207	182.71	53
330000	51207	187.05	55
340000	51207	194.17	56
350000	51157	201.05	58
360000	51145	208.00	60
370000	51145	216.07	61
380000	51145	222.43	63
390000	51145	229.31	65
400000	51145	233.87	66
410000	51145	240.86	68
420000	51145	245.73	70
430000	51145	251.77	71
440000	51145	257.76	73
450000	51145	264.07	75
460000	51145	270.90	76
470000	51145	278.48	78
480000	51145	283.61	80
490000	51145	290.64	81
500000	51145	296.94	83
510000	51145	302.58	85
520000	51145	308.15	86
530000	51145	314.73	88
540000	51118	320.32	90
550000	51118	325.49	91
560000	51118	332.77	93
570000	51118	337.75	95
580000	51118	344.73	96
590000	51091	349.28	98
