0	724050	0.01	0
10000	73215	32.25	1
20000	53849	37.29	3
30000	52686	42.23	5
40000	52050	47.26	6
50000	52016	51.97	8
60000	51799	57.15	10
70000	51687	62.25	11
80000	51550	66.87	13
90000	51550	71.28	15
100000	51521	76.53	16
110000	51234	81.25	18
120000	51234	85.94	20
130000	51169	90.80	21
140000	51169	95.29	23
150000	51169	100.16	25
160000	51169	104.46	26
170000	51169	108.77	28
180000	51169	113.10	30
190000	51169	118.00	31
200000	51169	122.52	33
210000	51169	126.81	35
220000	51162	131.56	36
230000	51162	135.62	38
240000	51162	139.93	40
250000	51092	144.36	41
260000	51092	148.99	43
270000	51092	153.58	45
280000	51057	158.50	46
290000	51057	162.97	48
300000	51057	167.74	50
310000	51051	171.87	51
320000	51051	176.31	53
330000	51051	180.88	55
340000	51051	185.21	56
350000	51051	189.76	58
360000	51051	194.42	60
370000	51051	199.13	61
380000	51051	203.87	63
390000	51051	209.54	65
400000	51051	213.67	66
410000	51051	219.95	68
420000	51051	224.67	70
430000	51051	230.84	71
440000	51044	238.67	73
450000	51044	244.52	75
460000	51044	251.40	76
470000	51044	257.63	78
480000	51044	264.22	80
490000	51035	270.87	81
500000	51028	276.92	83
510000	51028	282.56	85
520000	51028	288.88	86
530000	51028	294.36	88
540000	51021	299.68	90
550000	51021	304.39	91
560000	51021	309.96	93
570000	51021	314.00	95
580000	51021	318.96	96
590000	51014	323.97	98
