0	729645	0.01	0
10000	75319	33.76	1
20000	54210	41.63	3
30000	52630	46.52	5
40000	52337	51.69	6
50000	51829	56.10	8
60000	51746	61.53	10
70000	51746	66.56	11
80000	51746	71.06	13
90000	51724	76.44	15
100000	51605	81.42	16
110000	51593	86.51	18
120000	51593	91.42	20
130000	51593	96.24	21
140000	51593	101.17	23
150000	51441	106.35	25
160000	51352	110.75	26
170000	51352	115.69	28
180000	51352	120.96	30
190000	51352	125.73	31
200000	51283	129.81	33
210000	51283	135.11	35
220000	51283	139.60	36
230000	51283	144.18	38
240000	51283	148.67	40
250000	51253	153.28	41
260000	51253	157.61	43
270000	51253	161.84	45
280000	51253	166.38	46
290000	51234	171.03	48
300000	51205	175.80	50
310000	51205	179.98	51
320000	51205	184.81	53
330000	51205	189.22	55
340000	51205	193.89	56
350000	51122	198.68	58
360000	51122	203.01	60
370000	51122	207.63	61
380000	51122	212.02	63
390000	51122	217.57	65
400000	51122	222.40	66
410000	51122	227.94	68
420000	51122	232.10	70
430000	51122	237.73	71
440000	51122	244.61	73
450000	51122	249.30	75
460000	51122	255.88	76
470000	51122	261.79	78
480000	51122	266.68	80
490000	51122	273.21	81
500000	51122	279.49	83
510000	51122	284.52	85
520000	51122	290.92	86
530000	51122	297.09	88
540000	51122	303.77	90
550000	51122	310.03	91
560000	51122	316.04	93
570000	51122	322.52	95
580000	51122	328.44	96
590000	51122	334.27	98
